types,counts,total_unique,probs
Terrell,177,4256,9.10550502371804e-05
Alejandro,175,4256,9.002617961303147e-05
Gus,175,4256,9.002617961303147e-05
Justin,175,4256,9.002617961303147e-05
Russel,175,4256,9.002617961303147e-05
Eduardo,174,4256,8.9511744300957e-05
Jake,174,4256,8.9511744300957e-05
Jeremiah,174,4256,8.9511744300957e-05
Robbie,174,4256,8.9511744300957e-05
Orlando,173,4256,8.899730898888254e-05
Pablo,172,4256,8.848287367680808e-05
Zachary,171,4256,8.796843836473361e-05
Morgan,169,4256,8.693956774058468e-05
Monroe,169,4256,8.693956774058468e-05
Garrett,169,4256,8.693956774058468e-05
Gail,167,4256,8.591069711643574e-05
Elias,164,4256,8.436739118021235e-05
Merrill,164,4256,8.436739118021235e-05
Riley,164,4256,8.436739118021235e-05
Winfred,164,4256,8.436739118021235e-05
Rory,163,4256,8.385295586813788e-05
Ivory,163,4256,8.385295586813788e-05
Abel,162,4256,8.333852055606342e-05
Jackson,162,4256,8.333852055606342e-05
Mitchel,161,4256,8.282408524398896e-05
Reynaldo,161,4256,8.282408524398896e-05
Weldon,160,4256,8.230964993191448e-05
Mary,159,4256,8.179521461984002e-05
Luke,158,4256,8.128077930776556e-05
Domingo,157,4256,8.07663439956911e-05
Bobbie,157,4256,8.07663439956911e-05
Carter,156,4256,8.025190868361662e-05
Cedric,156,4256,8.025190868361662e-05
Charley,156,4256,8.025190868361662e-05
Merlin,156,4256,8.025190868361662e-05
Erwin,155,4256,7.973747337154216e-05
Maynard,155,4256,7.973747337154216e-05
Roman,154,4256,7.92230380594677e-05
Solomon,154,4256,7.92230380594677e-05
Jefferson,153,4256,7.870860274739322e-05
Chuck,151,4256,7.76797321232443e-05
Barton,150,4256,7.716529681116984e-05
Donnell,150,4256,7.716529681116984e-05
Nicky,150,4256,7.716529681116984e-05
Ollie,150,4256,7.716529681116984e-05
Otto,150,4256,7.716529681116984e-05
Andres,149,4256,7.665086149909536e-05
Adolph,147,4256,7.562199087494644e-05
Jean,147,4256,7.562199087494644e-05
Hollis,146,4256,7.510755556287196e-05
Ismael,145,4256,7.45931202507975e-05
Stan,145,4256,7.45931202507975e-05
Bennett,144,4256,7.407868493872304e-05
Harris,144,4256,7.407868493872304e-05
Bryant,143,4256,7.356424962664858e-05
Emory,143,4256,7.356424962664858e-05
Noah,143,4256,7.356424962664858e-05
Rogers,143,4256,7.356424962664858e-05
Vern,143,4256,7.356424962664858e-05
Davis,142,4256,7.30498143145741e-05
Jacky,142,4256,7.30498143145741e-05
